id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,population,gdp_per_capita
736041664,A Jesus Garcia,ESP,male,10/17/69,1.72,64.0,athletics,0,0,0,46418269.0,25831.5823052954
532037425,A Lam Shin,KOR,female,9/23/86,1.68,56.0,fencing,0,0,0,50617045.0,27221.5240509661
435962603,Aaron Brown,CAN,male,5/27/92,1.98,79.0,athletics,0,0,1,35851774.0,43248.529909341
521041435,Aaron Cook,MDA,male,1/2/91,1.83,80.0,taekwondo,0,0,0,3554150.0,1848.06180430428
33922579,Aaron Gate,NZL,male,11/26/90,1.81,71.0,cycling,0,0,0,4595700.0,37807.9672760442
173071782,Aaron Royle,AUS,male,1/26/90,1.8,67.0,triathlon,0,0,0,23781169.0,56310.9629933721
266237702,Aaron Russell,USA,male,6/4/93,2.05,98.0,volleyball,0,0,1,321418820.0,56115.7184261955
382571888,Aaron Younger,AUS,male,9/25/91,1.93,100.0,aquatics,0,0,0,23781169.0,56310.9629933721
87689776,Aauri Lorena Bokesa,ESP,female,12/14/88,1.8,62.0,athletics,0,0,0,46418269.0,25831.5823052954
997877719,Ababel Yeshaneh,ETH,female,7/22/91,1.65,54.0,athletics,0,0,0,99390750.0,619.169406475891
343694681,Abadi Hadis,ETH,male,11/6/97,1.7,63.0,athletics,0,0,0,99390750.0,619.169406475891
591319906,Abbas Abubakar Abbas,BRN,male,5/17/96,1.75,66.0,athletics,0,0,0,1377237.0,22600.2140981035
376068084,Abbey D'Agostino,USA,female,5/25/92,1.61,49.0,athletics,0,0,0,321418820.0,56115.7184261955
162792594,Abbey Weitzeil,USA,female,12/3/96,1.78,68.0,aquatics,1,1,0,321418820.0,56115.7184261955
521036704,Abbie Brown,GBR,female,4/10/96,1.76,71.0,rugby sevens,0,0,0,65138232.0,43875.9696143686
149397772,Abbos Rakhmonov,UZB,male,7/7/98,1.61,57.0,wrestling,0,0,0,31299500.0,2132.07036847857
256673338,Abbubaker Mobara,RSA,male,2/18/94,1.75,64.0,football,0,0,0,54956920.0,5723.97335690212
337369662,Abby Erceg,NZL,female,11/20/89,1.75,68.0,football,0,0,0,4595700.0,37807.9672760442
334169879,Abd Elhalim Mohamed Abou,EGY,male,6/3/89,2.1,88.0,volleyball,0,0,0,91508084.0,3614.74676616271
215053268,Abdalaati Iguider,MAR,male,3/25/87,1.73,57.0,athletics,0,0,0,34377511.0,2878.20134215919
763711985,Abdalelah Haroun,QAT,male,1/1/97,1.85,80.0,athletics,0,0,0,2235355.0,73653.3944346574
924593601,Abdalla Targan,SUD,male,9/28/96,1.77,65.0,athletics,0,0,0,40234882.0,2414.72360102858
578032534,Abdel Aziz Mehelba,EGY,male,12/10/88,1.76,80.0,shooting,0,0,0,91508084.0,3614.74676616271
890222258,Abdelati El Guesse,MAR,male,2/27/93,1.9,72.0,athletics,0,0,0,34377511.0,2878.20134215919
803161695,Abdelaziz Merzougui,ESP,male,8/30/91,1.75,67.0,athletics,0,0,0,46418269.0,25831.5823052954
189931373,Abdelaziz Mohamed Ahmed,SUD,male,10/12/94,1.81,72.0,aquatics,0,0,0,40234882.0,2414.72360102858
677622742,Abdelghani Demmou,ALG,male,1/29/89,1.85,75.0,football,0,0,0,39666519.0,4206.03123244958
349871091,Abdelhafid Benchabla,ALG,male,9/26/86,1.86,,boxing,0,0,0,39666519.0,4206.03123244958
904808208,Abdelhakim Amokrane,ALG,male,5/10/94,1.86,70.0,football,0,0,0,39666519.0,4206.03123244958
23564778,Abdelkader Chadi,ALG,male,12/12/86,1.78,,boxing,0,0,0,39666519.0,4206.03123244958
133974151,Abdelkadir Salhi,ALG,male,3/19/93,1.85,79.0,football,0,0,0,39666519.0,4206.03123244958
189886442,Abdelkebir Ouaddar,MAR,male,7/15/62,1.74,67.0,equestrian,0,0,0,34377511.0,2878.20134215919
199516300,Abdelkhalek Elbanna,EGY,male,7/4/88,1.93,95.0,rowing,0,0,0,91508084.0,3614.74676616271
570342175,Abdellatif Mohamed Ahmed Mohamed,EGY,male,12/8/95,1.76,120.0,wrestling,0,0,0,91508084.0,3614.74676616271
517007712,Abdelmajid El Hissouf,MAR,male,9/23/92,1.7,56.0,athletics,0,0,0,34377511.0,2878.20134215919
512730813,Abdelmalik Lahoulou,ALG,male,5/7/92,1.77,72.0,athletics,0,0,0,39666519.0,4206.03123244958
934545704,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,10/9/87,1.85,,boxing,0,0,0,91508084.0,3614.74676616271
514096508,Abdelraouf Benguit,ALG,male,4/5/96,1.7,65.0,football,0,0,0,39666519.0,4206.03123244958
388896171,Abderrahmane Benamadi,ALG,male,7/3/85,1.83,90.0,judo,0,0,0,39666519.0,4206.03123244958
285603057,Abderrahmane Mansouri,ALG,male,1/13/95,1.72,66.0,cycling,0,0,0,39666519.0,4206.03123244958
545134894,Abderrahmane Meziane,ALG,male,3/7/94,1.68,62.0,football,0,0,0,39666519.0,4206.03123244958
64529046,Abdi Hakin Ulad,DEN,male,6/14/91,1.75,57.0,athletics,0,0,0,5676002.0,51989.2934712354
917755766,Abdi Nageeye,NED,male,3/2/89,1.65,54.0,athletics,0,0,0,16936520.0,44299.768085383
184980926,Abdi Waiss Mouhyadin,DJI,male,7/3/96,1.6,60.0,athletics,0,0,0,887861.0,1945.12429310444
702606719,Abdoul Khadre Mbaye Niane,SEN,male,8/20/88,1.9,90.0,aquatics,0,0,0,15129273.0,899.579879484977
259675127,Abdoulkarim Fawziya,CMR,female,3/1/89,1.8,67.0,volleyball,0,0,0,23344179.0,1217.26067048427
469953606,Abdoullah Bamoussa,ITA,male,6/8/86,,,athletics,0,0,0,60802085.0,29957.8043154372
962468808,Abdoulrazak Issoufou Alfaga,NIG,male,12/26/94,2.07,98.0,taekwondo,0,1,0,19899120.0,358.958152040005
958967643,Abdul Khalili,SWE,male,6/7/92,1.81,71.0,football,0,0,0,9798871.0,50579.6736486777
325809293,Abdul Omar,GHA,male,10/3/93,,,boxing,0,0,0,27409893.0,1369.70112227585
152408417,Abdul Wahab Zahiri,AFG,male,5/27/92,1.75,68.0,athletics,0,0,0,32526562.0,594.323081219966
101781750,Abdulkadir Abdullayev,AZE,male,7/17/88,1.88,,boxing,0,0,0,9651349.0,5496.34464026248
5763609,Abdullah Abkar Mohammed,KSA,male,1/1/97,1.72,73.0,athletics,0,0,0,31540372.0,20481.7453220484
897549624,Abdullah Hel Baki,BAN,male,8/1/89,,,shooting,0,0,0,160995642.0,1211.70153057661
153457,Abdullahi Shehu,NGR,male,3/12/93,1.7,,football,0,0,1,182201962.0,2640.2907388575
803368584,Abdullo Tangriev,UZB,male,3/28/81,1.9,132.0,judo,0,0,0,31299500.0,2132.07036847857
746318262,Abdulrashid Sadulaev,RUS,male,5/9/96,1.77,86.0,wrestling,1,0,0,144096812.0,9092.58053606884
841446548,Abdulrazzaq Murad,QAT,male,6/29/90,1.86,77.0,handball,0,0,0,2235355.0,73653.3944346574
884912875,Abeku Gyekye Jackson,GHA,male,4/12/00,,,aquatics,0,0,0,27409893.0,1369.70112227585
146197583,Abhinav Bindra,IND,male,9/28/82,1.75,70.0,shooting,0,0,0,1311050527.0,1598.25903421916
884912136,Abigail Johnston,USA,female,11/16/89,1.66,61.0,aquatics,0,0,0,321418820.0,56115.7184261955
221052317,Abigel Joo,HUN,female,8/6/90,1.83,76.0,judo,0,0,0,9844686.0,12363.5434596539
157637514,Ablaikhan Zhussupov,KAZ,male,1/10/97,1.75,,boxing,0,0,0,17544126.0,10509.9810699442
78813419,Abraham Kipchirchir Rotich,BRN,male,9/26/93,1.83,65.0,athletics,0,0,0,1377237.0,22600.2140981035
555457991,Abraham Naibei Cheroben,BRN,male,10/11/92,1.76,60.0,athletics,0,0,0,1377237.0,22600.2140981035
877850429,Abraham Niyonkuru,BDI,male,12/26/89,1.62,52.0,athletics,0,0,0,11178921.0,277.068309170914
369092977,Abrar Osman,ERI,male,1/1/94,1.68,58.0,athletics,0,0,0,,
602585498,Abubaker Haydar Abdalla,QAT,male,8/28/96,1.8,60.0,athletics,0,0,0,2235355.0,73653.3944346574
140663745,Achraf Kharroubi,MAR,male,9/25/90,1.6,,boxing,0,0,0,34377511.0,2878.20134215919
507726155,Adam Batirov,BRN,male,1/13/85,1.65,71.0,wrestling,0,0,0,1377237.0,22600.2140981035
60265240,Adam Cwalina,POL,male,1/26/85,1.87,81.0,badminton,0,0,0,37999494.0,12554.5475536313
256805041,Adam Decker,HUN,male,2/29/84,2.03,115.0,aquatics,0,0,0,9844686.0,12363.5434596539
275689888,Adam Dixon,GBR,male,9/11/86,1.69,70.0,hockey,0,0,0,65138232.0,43875.9696143686
136977152,Adam Froese,CAN,male,8/13/91,1.82,81.0,hockey,0,0,0,35851774.0,43248.529909341
487206822,Adam Gemili,GBR,male,10/6/93,1.78,75.0,athletics,0,0,0,65138232.0,43875.9696143686
236523132,Adam Imer,BRA,male,8/18/89,1.82,88.0,hockey,0,0,0,207847528.0,8538.5899749574
682367963,Adam Kszczot,POL,male,9/2/89,1.78,68.0,athletics,0,0,0,37999494.0,12554.5475536313
624366946,Adam Lundqvist,SWE,male,3/20/94,1.74,70.0,football,0,0,0,9798871.0,50579.6736486777
394945344,Adam Marosi,HUN,male,7/26/84,1.81,75.0,modern pentathlon,0,0,0,9844686.0,12363.5434596539
970243540,Adam Okruashvili,GEO,male,1/1/89,1.89,130.0,judo,0,0,0,3679000.0,3795.97330845042
765490473,Adam Pattantyus,HUN,male,10/10/78,1.75,71.0,table tennis,0,0,0,9844686.0,12363.5434596539
561951036,Adam Peaty,GBR,male,12/28/94,1.93,88.0,aquatics,1,1,0,65138232.0,43875.9696143686
785166259,Adam Sebastian Helcelet,CZE,male,10/27/91,1.9,92.0,athletics,0,0,0,10551219.0,17548.3382129701
846863992,Adam Telegdy,HUN,male,11/1/95,1.94,77.0,aquatics,0,0,0,9844686.0,12363.5434596539
390173289,Adam Vella,AUS,male,6/12/71,1.78,92.0,shooting,0,0,0,23781169.0,56310.9629933721
266751447,Adam Viktora,SEY,male,9/6/96,1.88,94.0,aquatics,0,0,0,92900.0,15476.01944443
983184686,Adam Wisniewski,POL,male,10/24/80,1.93,93.0,handball,0,0,0,37999494.0,12554.5475536313
184652432,Adam Yates,GBR,male,8/7/92,1.72,58.0,cycling,0,0,0,65138232.0,43875.9696143686
983411298,Adam van Koeverden,CAN,male,1/29/82,1.82,85.0,canoe,0,0,0,35851774.0,43248.529909341
685532077,Adama Diatta,SEN,male,8/14/88,1.65,57.0,wrestling,0,0,0,15129273.0,899.579879484977
222063859,Adama Jammeh,GAM,male,6/10/93,,,athletics,0,0,0,1990924.0,471.537195472347
46940649,Adas Juskevicius,LTU,male,1/3/89,1.94,90.0,basketball,0,0,0,2910199.0,14147.0493792403
512592841,Adel Gholami,IRI,male,2/9/86,1.95,88.0,volleyball,0,0,0,79109272.0,
302277635,Adel Mechaal,ESP,male,12/5/90,1.82,71.0,athletics,0,0,0,46418269.0,25831.5823052954
216864827,Adel Mojallalimoghadam,IRI,male,3/21/93,1.85,82.0,canoe,0,0,0,79109272.0,
153013732,Adela Bruns,CZE,female,2/5/87,1.71,60.0,shooting,0,0,0,10551219.0,17548.3382129701
123916473,Adela Hanzlickova,CZE,female,5/4/94,1.71,67.0,wrestling,0,0,0,10551219.0,17548.3382129701
457663778,Adelinde Cornelissen,NED,female,7/7/79,1.68,55.0,equestrian,0,0,0,16936520.0,44299.768085383
259002430,Adeline Maria Gray,USA,female,1/15/91,1.73,77.0,wrestling,0,0,0,321418820.0,56115.7184261955
